,settingdict,formula,Sharpe,Turnover,Fitness,Returns,Drawdown,Margin
17,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '10', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(current_ratio),1.25,0.0245,1.27,0.1283,0.1201,0.010463
18,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_rec,10)",1.25,0.0213,1.0,0.0795,0.4203,0.0074569999999999
19,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '50', 'Delay': '1', 'Truncation': '0.02', 'Neutralization': 'Sector', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(mdf_sic),1.25,0.0125,1.02,0.0831,0.0739,0.013259
20,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Industry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_val,10)",1.25,0.0207,1.01,0.0822,0.4054,0.0079569999999999
21,"{'Region': 'USA', 'Universe': 'TOP1000', 'Language': 'Fast Expression', 'Decay': '78', 'Delay': '1', 'Truncation': '0.08', 'Neutralization': 'Industry', 'Pasteurization': 'On', 'NaN_Handling': 'On', 'Unit_Handling': 'Verify'}","ts_zscore(mdf_gry, 26)",1.25,0.1416,1.18,0.1266,0.1022,0.001789
22,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","-ts_mean(mdf_bkv,10)",1.25,0.0149,1.12,0.0999,0.5274,0.013419
23,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","ts_mean(mdf_bet,10)",1.25,0.0179,1.49,0.1765,0.1195,0.019691
24,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","ts_mean(fnd6_optvol,10)",1.25,0.0289,1.18,0.1119,0.6664,0.007742
25,"{'Region': 'USA', 'Universe': 'TOP200', 'Language': 'Fast Expression', 'Decay': '1', 'Delay': '1', 'Truncation': '0.01', 'Neutralization': 'Market', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}","ts_mean(fnd6_sppiv,10)",1.25,0.0167,1.17,0.1098,0.5803,0.013178
26,"{'Region': 'USA', 'Universe': 'TOP500', 'Language': 'Fast Expression', 'Decay': '55', 'Delay': '1', 'Truncation': '0.03', 'Neutralization': 'Subindustry', 'Pasteurization': 'On', 'NaN_Handling': 'Off', 'Unit_Handling': 'Verify'}",rank(mdf_gry),1.26,0.0183,1.0,0.0788,0.0594,0.008636
